"loop","Label","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper"
120,"b03",0.8596,0.6532,500,1.32,0.1888,0.05,-0.4237,2.143
120,"b13",0.1312,0.3299,500,0.4,0.6909,0.05,-0.5169,0.7793
120,"b23",-0.01422,0.1216,500,-0.12,0.907,0.05,-0.2532,0.2248
120,"b33",0.001208,0.06788,500,0.02,0.9858,0.05,-0.1322,0.1346
120,"b43",-0.3872,0.351,500,-1.1,0.2704,0.05,-1.0768,0.3023
120,"b53",0.1802,0.2257,500,0.8,0.4248,0.05,-0.2631,0.6236
121,"b03",0.9725,0.4319,500,2.25,0.0248,0.05,0.124,1.821
121,"b13",0.07825,0.1582,500,0.49,0.621,0.05,-0.2325,0.389
121,"b23",0.04096,0.06456,500,0.63,0.5261,0.05,-0.08588,0.1678
121,"b33",0.0281,0.07844,500,0.36,0.7203,0.05,-0.126,0.1822
121,"b43",-0.3072,0.1707,500,-1.8,0.0725,0.05,-0.6426,0.02817
121,"b53",0.1936,0.2193,500,0.88,0.3778,0.05,-0.2373,0.6244
122,"b03",1.9351,0.4899,500,3.95,"<.0001",0.05,0.9727,2.8976
122,"b13",0.2515,0.2243,500,1.12,"0.2628",0.05,-0.1892,0.6921
122,"b23",-0.2086,0.2022,500,-1.03,"0.3028",0.05,-0.6059,0.1887
122,"b33",-0.0439,0.1838,500,-0.24,"0.8113",0.05,-0.405,0.3172
122,"b43",-0.7738,0.2606,500,-2.97,"0.0031",0.05,-1.2857,-0.2618
122,"b53",0.364,0.2334,500,1.56,"0.1194",0.05,-0.09449,0.8225
123,"b03",1.3087,0.6203,500,2.11,0.0354,0.05,0.09003,2.5274
123,"b13",0.3264,0.4291,500,0.76,0.4473,0.05,-0.5167,1.1695
123,"b23",-0.02101,0.1099,500,-0.19,0.8484,0.05,-0.2369,0.1948
123,"b33",0.09613,0.1228,500,0.78,0.4341,0.05,-0.1451,0.3374
123,"b43",-0.7564,0.3784,500,-2,0.0462,0.05,-1.4999,-0.01285
123,"b53",0.2481,0.2002,500,1.24,0.2159,0.05,-0.1453,0.6416
124,"b03",1.6095,0.7176,500,2.24,0.0253,0.05,0.1997,3.0193
