"loop","Parameter","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper","Gradient"
3,"b11",0.04155,0.3274,500,0.13,"0.8990",0.05,-0.6016,0.6847,-1e-05
3,"b12",-0.1156,0.2668,500,-0.43,"0.6651",0.05,-0.6399,0.4087,0.000148
3,"b21",0.2585,0.1541,500,1.68,"0.0940",0.05,-0.04422,0.5611,-0.00051
3,"b22",-0.1465,0.1295,500,-1.13,"0.2583",0.05,-0.4009,0.1078,-0.00084
3,"b31",-0.09258,0.1484,500,-0.62,"0.5330",0.05,-0.3841,0.199,-0.00111
3,"b32",-0.2611,0.1213,500,-2.15,"0.0318",0.05,-0.4994,-0.02288,0.000954
3,"b41",0.9236,0.1581,500,5.84,"<.0001",0.05,0.613,1.2343,0.000347
3,"b42",1.1545,0.1538,500,7.51,"<.0001",0.05,0.8524,1.4566,0.000614
3,"b51",-0.462,0.1562,500,-2.96,"0.0032",0.05,-0.7689,-0.1551,0.00049
3,"b52",0.064,0.1249,500,0.51,"0.6086",0.05,-0.1814,0.3094,0.000457
3,"phi1",0.05881,0.2452,500,0.24,"0.8106",0.05,-0.423,0.5406,-0.00013
3,"phi2",-1.014,0.4382,500,-2.31,"0.0211",0.05,-1.8749,-0.1531,-0.00032
4,"b01",-2.4072,0.3452,500,-6.97,"<.0001",0.05,-3.0854,-1.729,4.2e-05
4,"b02",-1.8777,0.3069,500,-6.12,"<.0001",0.05,-2.4806,-1.2748,0.000396
4,"b11",0.03258,0.3266,500,0.1,"0.9206",0.05,-0.6092,0.6743,0.000129
4,"b12",-0.1029,0.3284,500,-0.31,"0.7541",0.05,-0.7483,0.5424,0.000222
4,"b21",0.3346,0.1491,500,2.24,"0.0253",0.05,0.04166,0.6274,9.5e-05
4,"b22",0.02075,0.144,500,0.14,"0.8855",0.05,-0.2622,0.3037,0.000324
4,"b31",-0.02979,0.1631,500,-0.18,"0.8552",0.05,-0.3503,0.2907,3.6e-05
4,"b32",-0.1958,0.1591,500,-1.23,"0.2190",0.05,-0.5084,0.1168,0.000166
4,"b41",1.399,0.2072,500,6.75,"<.0001",0.05,0.9919,1.806,-0.00019
4,"b42",1.3113,0.1869,500,7.01,"<.0001",0.05,0.9441,1.6786,0.000722
4,"b51",-0.5829,0.1606,500,-3.63,"0.0003",0.05,-0.8984,-0.2675,-0.00025
4,"b52",-0.05835,0.1495,500,-0.39,"0.6965",0.05,-0.352,0.2354,-0.00046
4,"phi1",-1.4007,0.5603,500,-2.5,"0.0127",0.05,-2.5016,-0.2999,0.000148
4,"phi2",0.5936,0.2873,500,2.07,"0.0393",0.05,0.02918,1.1581,0.000111
5,"b01",-2.3549,0.3355,500,-7.02,"<.0001",0.05,-3.0141,-1.6957,-6e-05
5,"b02",-1.3081,0.2383,500,-5.49,"<.0001",0.05,-1.7763,-0.84,0.000827
5,"b11",0.1772,0.371,500,0.48,"0.6331",0.05,-0.5518,0.9062,-0.00016
5,"b12",-0.4292,0.2721,500,-1.58,"0.1154",0.05,-0.9638,0.1055,0.000532
5,"b21",0.3777,0.1657,500,2.28,"0.0231",0.05,0.05212,0.7033,9.8e-05
5,"b22",-0.1125,0.1448,500,-0.78,"0.4378",0.05,-0.397,0.1721,0.000189
5,"b31",-0.1362,0.1785,500,-0.76,"0.4459",0.05,-0.4869,0.2145,-0.00066
5,"b32",-0.4133,0.1469,500,-2.81,"0.0051",0.05,-0.702,-0.1246,-1e-04
5,"b41",0.9283,0.1835,500,5.06,"<.0001",0.05,0.5678,1.2889,-0.00022
5,"b42",1.0171,0.1552,500,6.55,"<.0001",0.05,0.7121,1.322,0.000589
5,"b51",-0.3523,0.1679,500,-2.1,"0.0363",0.05,-0.6821,-0.0225,0.000194
5,"b52",0.09762,0.1284,500,0.76,"0.4474",0.05,-0.1546,0.3499,-0.00094
5,"phi1",-0.08334,0.2723,500,-0.31,"0.7597",0.05,-0.6183,0.4516,0.000376
5,"phi2",-1.0227,0.5946,500,-1.72,"0.0860",0.05,-2.1909,0.1455,0.000215
6,"b01",-2.5584,0.3544,500,-7.22,"<.0001",0.05,-3.2547,-1.862,-3e-05
6,"b02",-1.4935,0.2449,500,-6.1,"<.0001",0.05,-1.9747,-1.0123,-0.00025
6,"b11",0.07137,0.3764,500,0.19,"0.8497",0.05,-0.6681,0.8109,-6e-05
6,"b12",-0.459,0.2829,500,-1.62,"0.1053",0.05,-1.0148,0.09676,-1e-04
6,"b21",0.1029,0.1543,500,0.67,"0.5052",0.05,-0.2002,0.406,-6.58e-06
6,"b22",0.05976,0.1248,500,0.48,"0.6323",0.05,-0.1855,0.305,-0.00011
6,"b31",-0.1305,0.1679,500,-0.78,"0.4373",0.05,-0.4603,0.1993,7.5e-05
6,"b32",-0.2786,0.1353,500,-2.06,"0.0399",0.05,-0.5443,-0.01286,0.000132
6,"b41",1.3663,0.209,500,6.54,"<.0001",0.05,0.9557,1.7769,-5e-05
6,"b42",1.2578,0.1748,500,7.2,"<.0001",0.05,0.9145,1.6012,-0.00029
6,"b51",-0.5282,0.1795,500,-2.94,"0.0034",0.05,-0.8809,-0.1754,-0.00013
6,"b52",-0.2619,0.1334,500,-1.96,"0.0502",0.05,-0.5239,0.000202,7e-05
6,"phi1",0.1767,0.2707,500,0.65,"0.5142",0.05,-0.3552,0.7086,0.000136
6,"phi2",-0.9583,0.527,500,-1.82,"0.0696",0.05,-1.9937,0.07707,9.8e-05
7,"b01",-2.2424,0.317,500,-7.07,"<.0001",0.05,-2.8652,-1.6196,-1e-05
7,"b02",-1.5621,0.2544,500,-6.14,"<.0001",0.05,-2.0619,-1.0624,-1e-04
7,"b11",0.09529,0.3384,500,0.28,"0.7784",0.05,-0.5697,0.7602,1.7e-05
7,"b12",-0.303,0.2853,500,-1.06,"0.2887",0.05,-0.8635,0.2575,-2e-05
7,"b21",0.08716,0.1629,500,0.54,"0.5929",0.05,-0.2329,0.4072,9.2e-05
7,"b22",0.01574,0.1401,500,0.11,"0.9106",0.05,-0.2595,0.291,0.000342
7,"b31",-0.1663,0.1546,500,-1.08,"0.2828",0.05,-0.4701,0.1376,6e-05
7,"b32",-0.2394,0.1357,500,-1.76,"0.0784",0.05,-0.506,0.02725,1.1e-05
7,"b41",1.2504,0.2065,500,6.06,"<.0001",0.05,0.8448,1.6561,3.2e-05
7,"b42",1.3533,0.1912,500,7.08,"<.0001",0.05,0.9776,1.7291,-1e-05
7,"b51",-0.4157,0.165,500,-2.52,"0.0121",0.05,-0.74,-0.09147,-1e-05
7,"b52",-0.2183,0.1396,500,-1.56,"0.1186",0.05,-0.4926,0.05606,-1e-04
7,"phi1",-0.2678,0.6253,500,-0.43,"0.6686",0.05,-1.4963,0.9606,-0.00011
7,"phi2",-0.4578,0.8093,500,-0.57,"0.5719",0.05,-2.0479,1.1324,-0.00013
8,"b01",-2.1639,0.2683,500,-8.07,"<.0001",0.05,-2.6911,-1.6368,7.5e-05
8,"b02",-1.2065,0.2233,500,-5.4,"<.0001",0.05,-1.6452,-0.7677,-0.00027
8,"b11",-0.0583,0.2618,500,-0.22,"0.8239",0.05,-0.5726,0.456,1e-04
8,"b12",-0.908,0.2825,500,-3.21,"0.0014",0.05,-1.463,-0.353,-0.00019
8,"b21",0.05774,0.1276,500,0.45,"0.6511",0.05,-0.193,0.3084,-8e-05
8,"b22",-0.108,0.1404,500,-0.77,"0.4422",0.05,-0.3839,0.1679,-2e-05
8,"b31",-0.03594,0.1254,500,-0.29,"0.7745",0.05,-0.2823,0.2105,-0.00017
8,"b32",-0.1914,0.1409,500,-1.36,"0.1749",0.05,-0.4681,0.08537,0.000115
8,"b41",1.2004,0.1803,500,6.66,"<.0001",0.05,0.8462,1.5546,0.000111
8,"b42",1.0678,0.1624,500,6.58,"<.0001",0.05,0.7488,1.3868,-4e-05
8,"b51",-0.3936,0.1344,500,-2.93,"0.0036",0.05,-0.6577,-0.1296,-7e-05
8,"b52",-0.4101,0.1429,500,-2.87,"0.0043",0.05,-0.6908,-0.1294,4.6e-05
8,"phi1",-1.7556,0.5586,500,-3.14,"0.0018",0.05,-2.8531,-0.6582,-5.61e-06
