"loop","Parameter","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper","Gradient"
5,"b01",-2.3531,0.3447,500,-6.83,"<.0001",0.05,-3.0303,-1.6759,0.000176
5,"b02",-1.4346,0.2502,500,-5.73,"<.0001",0.05,-1.9262,-0.9429,8.1e-05
5,"b11",0.1674,0.3778,500,0.44,"0.6578",0.05,-0.5748,0.9097,0.000122
5,"b12",-0.3005,0.2918,500,-1.03,"0.3036",0.05,-0.8738,0.2728,7.4e-05
5,"b21",0.2748,0.1708,500,1.61,"0.1084",0.05,-0.06086,0.6104,7.1e-05
5,"b22",-0.2404,0.1434,500,-1.68,"0.0944",0.05,-0.5222,0.04142,-0.00019
5,"b31",-0.1555,0.1818,500,-0.86,"0.3926",0.05,-0.5126,0.2016,0.000188
5,"b32",-0.4119,0.1527,500,-2.7,"0.0072",0.05,-0.7121,-0.1118,-6e-05
5,"b41",0.9206,0.1883,500,4.89,"<.0001",0.05,0.5506,1.2906,0.000128
5,"b42",1.0323,0.1625,500,6.35,"<.0001",0.05,0.713,1.3517,-3e-05
5,"b51",-0.3563,0.1713,500,-2.08,"0.0380",0.05,-0.6929,-0.01974,-8e-05
5,"b52",0.04217,0.137,500,0.31,"0.7584",0.05,-0.2271,0.3114,-0.00015
6,"b01",-2.461,0.335,500,-7.35,"<.0001",0.05,-3.1192,-1.8027,8.7e-05
6,"b02",-1.6471,0.2548,500,-6.46,"<.0001",0.05,-2.1477,-1.1465,-4e-05
6,"b11",-0.02776,0.3599,500,-0.08,"0.9386",0.05,-0.7348,0.6793,2.4e-05
6,"b12",-0.2024,0.2895,500,-0.7,"0.4849",0.05,-0.7713,0.3665,-2e-05
6,"b21",0.1147,0.154,500,0.74,"0.4566",0.05,-0.1878,0.4173,3.6e-05
6,"b22",0.04733,0.1298,500,0.36,"0.7155",0.05,-0.2076,0.3023,-0.00014
6,"b31",-0.1481,0.1717,500,-0.86,"0.3890",0.05,-0.4855,0.1894,-2.05e-06
6,"b32",-0.2593,0.1413,500,-1.84,"0.0670",0.05,-0.537,0.01827,9.9e-05
6,"b41",1.3145,0.2045,500,6.43,"<.0001",0.05,0.9126,1.7163,0.000163
6,"b42",1.2788,0.1715,500,7.46,"<.0001",0.05,0.9419,1.6158,-6e-05
6,"b51",-0.5398,0.1816,500,-2.97,"0.0031",0.05,-0.8967,-0.1829,0.000115
6,"b52",-0.2591,0.1443,500,-1.8,"0.0731",0.05,-0.5426,0.02435,-0.00015
7,"b01",-2.2314,0.3166,500,-7.05,"<.0001",0.05,-2.8534,-1.6093,4.6e-05
